dataset_id,date_of_contribution,name_contact,email_contact,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,strategy_of_protection,sex,life_stage_general_initial,life_stage_general_final,life_stage_specific_initial,life_stage_specific_final,size_type,size_units,size_value_initial,size_value_final,test_temperature,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,development_time,development_time_unit,comments_development
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,39,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,46,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,42,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,39,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,41,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,41,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,40,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,39,Days,
Alfaro_Tapia_et_al_2022,27-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.7774767,https://doi.org/10.1127/entomologia/2021/1186,,Aphidius_platensis,,terrestrial,terrestrial,469,,-34,9,,-70,44,,field,Rancagua_Chile,07-07-2018,22-08-2018,,yes,30,3,20,16L_8D,65,,,,,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,,,,,,,10,,,,,8L_16D,,,37.5,Days,
