dataset_id,date_of_contribution,name_contact,email_contact,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen,maintenance_oxygen_units,maintenance_carbon_dioxide,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,strategy_of_protection,sex,life_stage_general_initial,life_stage_general_final,life_stage_specific_initial,life_stage_specific_final,size_type,size_units,size_value_initial,size_value_final,test_temperature,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,development_time,development_time_unit,comments_development
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",male,egg,adult,,,fresh mass,milligram,,34.53,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),21,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,fresh mass,milligram,,46.13,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),21,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",male,egg,adult,,,fresh mass,milligram,,39.14,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),19,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,fresh mass,milligram,,40.24,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),21,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,fresh mass,milligram,,41.01,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),22,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,fresh mass,milligram,,75.94,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),21,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",male,egg,adult,,,fresh mass,milligram,,47.29,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),19,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,fresh mass,milligram,,58.72,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),20,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,fresh mass,milligram,,41.87,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),22,days,
Semsar-kazerouni_et_al_2022,07-11-2022,Wilco_CEP_Verberk,w.verberk@science.ru.nl,https://doi.org/10.17026/dans-22w-ygkz,https://doi.org/10.1016/j.cris.2022.100034,,Lycaena_phlaeas,,terrestrial,terrestrial,,52,5,21.4,5,41,39,field,,01-05-2015,01-05-2015,,yes,1460,25,23,16l_8D,95,21,kPa,400,ppm,Adult butterflies were fed with artificial nectar provided through artificial flowers,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",female,egg,adult,,,fresh mass,milligram,,40.83,28,21,400,kPa,ppm,16L_8D,95,Maintenance temperature was probably between 18 degrees (during winter) and 28 degrees (during summer),21,days,
