dataset_id,date_of_contribution,name_contact,email_contact,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,strategy_of_protection,sex,life_stage_general_initial,life_stage_general_final,life_stage_specific_initial,life_stage_specific_final,size_type,size_units,size_value_initial,size_value_final,test_temperature,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,development_time,development_time_unit,comments_development
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,13,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Opisina arenosella
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,16,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,15,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,18,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,17,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,15,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,15,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,16,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,16,Days,Development time on host pupae Corcyra cephalonica
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,15,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,13,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,13,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,15,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Herculia nigrivita
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,13,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,15,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,15,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Sylepta derogata
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,14,Days,Development time on host pupae Psara basalis
Shameer_et_al_2018,24-03-2023,Shameer_Kodambiyakamenna,drshameer.ks@gmail.com,https://doi.org/10.5281/zenodo.7811831,https://doi.org/10.1007/s10340-017-0904-6,,Brachymeria_nosatoi,,terrestrial,terrestrial,8,,,,,,,,laboratory,,01-01-2012,31-12-2012,,yes,,,27,12L_12D,77,,,,Honey,no,"protected (carried by the female, or attached to a substrate or floating in clumped masses)",,egg,adult,egg laying,emergence of the adult from the host pupae,,,,,27,,,,,12L_12D,77,,12,Days,Development time on host pupae Psara basalis
