dataset_id,date_of_contribution,name_contact,email_contact,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,strategy_of_protection,sex,life_stage_general_initial,life_stage_general_final,life_stage_specific_initial,life_stage_specific_final,size_type,size_units,size_value_initial,size_value_final,test_temperature,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,development_time,development_time_unit,comments_development
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,178,7,,,,,,,constant temperature,59,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,95,7,,,,,,,constant temperature,58,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,86,7,,,,,,,constant temperature,62,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,106,7,,,,,,,constant temperature,60,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,155,7,,,,,,,constant temperature,54,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,73,7,,,,,,,constant temperature,63,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,167,7,,,,,,,constant temperature,65,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,91,7,,,,,,,constant temperature,61,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,129,7,,,,,,,constant temperature,66,days,
Tougeron_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,https://doi.org/10.5281/zenodo.5342664,https://doi.org/10.3390/insects12100855,,Aphidius_matricariae,,terrestrial,terrestrial,,,,,,,,,,,,,,yes,650,33,18,16L_8D,60,,,,Apple trees,no,unprotected (spawned individually and freely into the environment),female,egg,adult,,,dry mass,microgram,,103,7,,,,,,,constant temperature,60,days,
