dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,experiment_location,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,sex,parental_age,parental_age_units,parental_size_type,parental_size_units,parental_size_value,mating,method_type,fecundity,fecundity_unit,fecundity_temporal_unit,offspring_developmental_stage,offspring_size_type,offspring_size_units,offspring_size_value,comments_fecundity
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.136,,weighting and counting,516,number of eggs,10 weeks,egg,dry mass,gram,0.000147093,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.1872,,weighting and counting,234,number of eggs,10 weeks,egg,dry mass,gram,0.000205556,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.1702,,weighting and counting,490,number of eggs,10 weeks,egg,dry mass,gram,0.000182653,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.1433,,weighting and counting,404,number of eggs,10 weeks,egg,dry mass,gram,0.000177723,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.2095,,weighting and counting,463,number of eggs,10 weeks,egg,dry mass,gram,0.000192873,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.2036,,weighting and counting,463,number of eggs,10 weeks,egg,dry mass,gram,0.000160259,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.1729,,weighting and counting,746,number of eggs,10 weeks,egg,dry mass,gram,0.000166354,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.2692,,weighting and counting,663,number of eggs,10 weeks,egg,dry mass,gram,0.000183409,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.1841,,weighting and counting,189,number of eggs,10 weeks,egg,dry mass,gram,0.000184127,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.2108,,weighting and counting,186,number of eggs,10 weeks,egg,dry mass,gram,0.000220968,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.126,,weighting and counting,525,number of eggs,10 weeks,egg,dry mass,gram,0.000173143,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.2121,,weighting and counting,528,number of eggs,10 weeks,egg,dry mass,gram,0.000173295,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.19,,weighting and counting,460,number of eggs,10 weeks,egg,dry mass,gram,0.000183696,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.2254,,weighting and counting,473,number of eggs,10 weeks,egg,dry mass,gram,0.000169345,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.235,,weighting and counting,190,number of eggs,10 weeks,egg,dry mass,gram,0.000192632,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.1918,,weighting and counting,526,number of eggs,10 weeks,egg,dry mass,gram,0.000181179,
Hoffer_et_al_2012,25-03-2023,Joris_Koene,joris.koene@vu.nl,primary,https://doi.org/10.48338/VU01-0OCUNQ,https://doi.org/10.1016/j.anbehav.2012.06.002,,Lymnaea_stagnalis,,freshwater,freshwater,,,,,,,,laboratory,,01-01-2010,01-07-2010,,Lab,Yes,48,1,20,,,,,12L_12D,,,,broadleaf lettuce,no,,,,,,,,,,,,20,,,,,,,12L_12D,,Self,hermaphrodite,5,months,fresh mass,gram,0.2112,,weighting and counting,516,number of eggs,10 weeks,egg,dry mass,gram,0.000192829,
