dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,experiment_location,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,sex,parental_age,parental_age_units,parental_size_type,parental_size_units,parental_size_value,mating,method_type,fecundity,fecundity_unit,fecundity_temporal_unit,offspring_developmental_stage,offspring_size_type,offspring_size_units,offspring_size_value,comments_fecundity
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 1,female,48,hours,Left hind leg tibia length,micrometer,0.371,,counting,17,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 1,female,48,hours,Left hind leg tibia length,micrometer,0.354,,counting,15,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 1,female,48,hours,Left hind leg tibia length,micrometer,0.331,,counting,8,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 1,female,48,hours,Left hind leg tibia length,micrometer,0.382,,counting,30,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 1,female,48,hours,Left hind leg tibia length,micrometer,0.365,,counting,28,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 1,female,48,hours,Left hind leg tibia length,micrometer,0.356,,counting,0,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 2,female,48,hours,Left hind leg tibia length,micrometer,0.31,,counting,9,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 2,female,48,hours,Left hind leg tibia length,micrometer,0.294,,counting,4,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 2,female,48,hours,Left hind leg tibia length,micrometer,0.369,,counting,11,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
Le_Goff_et_al_2021,23-03-2023,Kevin_Tougeron,kevin.tougeron@umons.ac.be,primary,https://doi.org/10.6084/m9.figshare.13187642.v1,https://doi.org/10.14411/eje.2021.028,,Trechnites_insidiosus,,terrestrial,terrestrial,200,50,81,,5,21,,field,,01-04-2016,01-07-2016,,Lab,Yes,60,2,24,,,,,16L_8D,60,,,Cacopsylla pyri hosts producing honeydew,no,,,,,,,,,,,,24,,,,,,,16L_8D,60,host stage 2,female,48,hours,Left hind leg tibia length,micrometer,0.314,,counting,4,Number of eggs,lifetime (multiple seasons),egg,,,,Species is reproductively active for 1 year
