dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,experiment_location,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,sex,parental_age,parental_age_units,parental_size_type,parental_size_units,parental_size_value,mating,method_type,fecundity,fecundity_unit,fecundity_temporal_unit,offspring_developmental_stage,offspring_size_type,offspring_size_units,offspring_size_value,comments_fecundity
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,185,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,165,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,145,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,141,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,23,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,76,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,147,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,86,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,158,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,140,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,209,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,125,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
Mesas_and_Castaneda_2023,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.5061/dryad.2v6wwpzsg,https://doi.org/10.1093/evolut/qpac033,,Drosophila_subobscura,,terrestrial,terrestrial,35,-39.8,-73.2,field,,01-10-2014,01-10-2014,,Lab,yes,,27,21,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,no,,,,,,,,,,,,21,,,,,,,12L_12D,,control,female,5,days,,,,,counting,226,cumulative number of eggs per female,early fecundity (5 to 12 days old),egg,,,,
