dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,experiment_location,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,sex,parental_age,parental_age_units,parental_size_type,parental_size_units,parental_size_value,mating,method_type,fecundity,fecundity_unit,fecundity_temporal_unit,offspring_developmental_stage,offspring_size_type,offspring_size_units,offspring_size_value,comments_fecundity
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,128,-44,37,22.22,-72,57,0.61,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,277.32,,weighting and counting,5451,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,436.88,,weighting and counting,12915,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,191.7,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,340.98,,weighting and counting,5850,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,166,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,268.84,,weighting and counting,3472,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,166,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,380.2,,weighting and counting,3919,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,346.9,,weighting and counting,6929,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,191.7,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,468.26,,weighting and counting,5400,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,343.46,,weighting and counting,9944,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,191.7,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,407.66,,weighting and counting,10528,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
Molinet_et_al_2023,28-03-2023,Carlos_Molinet,cmolinet@uach.cl,primary,https://doi.org/10.1016/j.fishres.2020.105803,https://doi.org/10.1016/j.fishres.2022.106522,,Lithodes_santolla,,marine,marine,185.1,-44,37,17.98,-72,56,34.3,field,Seno Magdalena_Chile,25-03-2018,25-03-2018,,field,no,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,female,,,fresh mass,gram,444.14,,weighting and counting,9386,number of eggs by female,lifetime (multiple seasons),egg stage I,,,,The species is reproductively active over 8 years
