dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,experiment_location,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,sex,parental_age,parental_age_units,parental_size_type,parental_size_units,parental_size_value,mating,method_type,fecundity,fecundity_unit,fecundity_temporal_unit,offspring_developmental_stage,offspring_size_type,offspring_size_units,offspring_size_value,comments_fecundity
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.996,,counting,2,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.562,,counting,80,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.725,,counting,90,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.744,,counting,227,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.76,,counting,237,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.769,,counting,303,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.713,,counting,326,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.767,,counting,453,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.566,,counting,476,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.686,,counting,478,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.775,,counting,486,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.85,,counting,486,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.665,,counting,504,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.783,,counting,523,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.629,,counting,568,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.508,,counting,743,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.601,,counting,826,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.935,,counting,846,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,1.185,,counting,908,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.825,,counting,994,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.814,,counting,1236,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,control,female,2,weeks,fresh mass,gram,0.606,,counting,,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,loser,female,2,weeks,fresh mass,gram,0.727,,counting,9,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,loser,female,2,weeks,fresh mass,gram,0.788,,counting,21,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,loser,female,2,weeks,fresh mass,gram,0.918,,counting,43,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,loser,female,2,weeks,fresh mass,gram,0.444,,counting,56,number of eggs,single reproductive event (batch),egg,,,,One batch per year
Tuni_et_al_2016,31-03-2023,Cristina_Tuni,cristina.tuni@unito.it,primary,https://doi.org/10.5061/dryad.72g06,https://doi.org/10.1111/jeb.12888,,Gryllus_bimaculatus,,terrestrial,terrestrial,,,,,,,,field,,01-07-2014,15-07-2014,,Lab,yes,,3,26,,,,,14L_10D,65,,,dried bird food and fresh apple slices,no,,,,,,,,,,,,26,,,,,,,14L_10D,65,loser,female,2,weeks,fresh mass,gram,0.767,,counting,132,number of eggs,single reproductive event (batch),egg,,,,One batch per year
