dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,comments_taxonomy,realm_general,realm_specific,elevation_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,experiment_location,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,sex,parental_age,parental_age_units,parental_size_type,parental_size_units,parental_size_value,mating,method_type,fecundity,fecundity_unit,fecundity_temporal_unit,offspring_developmental_stage,offspring_size_type,offspring_size_units,offspring_size_value,comments_fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363 ,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.7976,,counting,177,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363 ,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.8214,,counting,545,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363 ,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,1.0398,,counting,154,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363 ,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.9241,,counting,429,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363 ,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.927,,counting,306,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363 ,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.8615,,counting,255,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.9643,,counting,210,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,1.0385,,counting,422,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.815,,counting,372,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.8011,,counting,80,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.8201,,counting,385,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.7182,,counting,316,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.8017,,counting,352,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.9505,,counting,330,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.8771,,counting,455,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.8423,,counting,245,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
Vogels_et_al_2021,02-01-2023,Joost_Vogels,vogels79@gmail.com,primary,https://doi.org/10.17026/dans-zsa-f3y9,https://doi:10.3389/fevo.2021.659363,,Gryllus_campestris,,terrestrial,terrestrial,40,52,2,30,5,49,0.5,lab,"Geographical coordinates of the Hoge Veluwe National
Park",15-04-2014,15-04-2014,,field,yes,14,1,20,,,,,16L_08D,55,,,Food pellets made from vegetation originating from full factorial experimental trial with P addition and liming,no,,,,,,,,,,,,,,,,,,,,,,female,,,FM,gram,0.9178,,counting,384,number of hatched eggs,lifetime (multiple seasons),nymph,,,,The body size of the female excludes the treatment effects of food on weight gain. This maye have implications on the relationship between weight and fecundity
