dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg_mm_ss,long_gg_mm_ss,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0684,26,,,,,,,,,,mLO2/h/ind,0.048187383,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0935,26,,,,,,,,,,mLO2/h/ind,0.08183337,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0506,26,,,,,,,,,,mLO2/h/ind,0.037209883,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0547,26,,,,,,,,,,mLO2/h/ind,0.046083195,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0824,26,,,,,,,,,,mLO2/h/ind,0.068233009,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0742,26,,,,,,,,,,mLO2/h/ind,0.051580425,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0746,26,,,,,,,,,,mLO2/h/ind,0.061548387,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0872,26,,,,,,,,,,mLO2/h/ind,0.059894018,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0372,26,,,,,,,,,,mLO2/h/ind,0.035758705,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0905,26,,,,,,,,,,mLO2/h/ind,0.048449116,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1232,26,,,,,,,,,,mLO2/h/ind,0.047723823,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,26,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0694,26,,,,,,,,,,mLO2/h/ind,0.065679758,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0745,32,,,,,,,,,,mLO2/h/ind,0.060949758,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0816,32,,,,,,,,,,mLO2/h/ind,0.048307808,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0715,32,,,,,,,,,,mLO2/h/ind,0.059374188,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,32,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.086,32,,,,,,,,,,mLO2/h/ind,0.081345756,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1427,29,,,,,,,,,,mLO2/h/ind,0.102288655,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.0684,29,,,,,,,,,,mLO2/h/ind,0.046309793,
Barneche_et_al_2019,18-04-2023,Diego_Barneche,d.barneche@aims.gov.au,primary,https://doi.org/10.5281/zenodo.2634100,https://doi.org/10.1111/1365-2435.13348,,Danio_rerio,,freshwater,freshwater,,0,,,,,,,,,laboratory,,18-05-2018,19-07-2018,,yes,,,29,,,,,,,,,,no,,,,,,,,,,,,standard,2,1,Loligo Witrox,27,,,,closed,aquatic,,,,,fresh mass,gram,0.1042,29,,,,,,,,,,mLO2/h/ind,0.060480958,
