dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,elevation_of_collection,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.222,20,,,,,,,12L_12D,,,uLCO2/h/ind,3.2212,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.367,20,,,,,,,12L_12D,,,uLCO2/h/ind,2.2983,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.346,20,,,,,,,12L_12D,,,uLCO2/h/ind,2.8436,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.439,20,,,,,,,12L_12D,,,uLCO2/h/ind,4.0587,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.571,20,,,,,,,12L_12D,,,uLCO2/h/ind,3.7192,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.583,20,,,,,,,12L_12D,,,uLCO2/h/ind,2.9375,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.151,20,,,,,,,12L_12D,,,uLCO2/h/ind,2.7187,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.715,20,,,,,,,12L_12D,,,uLCO2/h/ind,3.627,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.549,20,,,,,,,12L_12D,,,uLCO2/h/ind,4.2978,
Castaneda_and_Nespolo_2013,30-03-2023,Luis_Castaneda,luis.castaneda@uchile.cl,primary,https://doi.org/10.6084/m9.figshare.22561378,https://doi.org/10.1371/journal.pone.0058920,,Drosophila_melanogaster,San_Fernando_Chile,terrestrial,terrestrial,,,-34,55,,-70,59,,field,,,,,yes,,4,20,,,,,12L_12D,,,,David's killed-yeast Drosophila medium,yes,,20,,,,,12L_12D,,,,ethanol medium,routine,0.5,,infrared CO2 analyzer Li-6251_LI-COR ,20,,glass,0.17,open,aerial,adult,adult,female,,fresh body mass,milligram,1.77,20,,,,,,,12L_12D,,,uLCO2/h/ind,2.7094,
