dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,depth_of_collection,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),286,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.218,20,,,,,,,,,,mgO2/h/ind,0.0266838,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),286,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.121,20,,,,,,,,,,mgO2/h/ind,0.02266836,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),286,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.192,20,,,,,,,,,,mgO2/h/ind,0.03033888,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),285,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.155,20,,,,,,,,,,mgO2/h/ind,0.0252225,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),286,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.129,20,,,,,,,,,,mgO2/h/ind,0.02989272,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),281,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.196,20,,,,,,,,,,mgO2/h/ind,0.04171164,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),286,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.17,20,,,,,,,,,,mgO2/h/ind,0.02773056,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),281,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.254,20,,,,,,,,,,mgO2/h/ind,0.0502428,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),286,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.272,20,,,,,,,,,,mgO2/h/ind,0.04885452,diploid tadpole
Hermaniuk_et_al_2017,06-02-2023,Adam_Hermaniuk,hylaar@gmail.com,primary,,https://doi.org/10.1086/689408,dataset not published,Pelophylax_esculentus,,freshwater,freshwater,0.4,,,laboratory,,24-06-2010,02-07-2010,,yes,40,,18,,,,,,,,,A powder mix consisting of one part dried nettle and one part commercial fish food,yes,2,20,,,,,,,,,no food,standard,2,2,oxygen electrode (Yellow Spring Instruments),285,,glass,3,closed,aquatic,larva,tadpole,,,fresh body mass,gram,0.17,20,,,,,,,,,,mgO2/h/ind,0.0279243,diploid tadpole
