dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,depth_of_collection,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,4,29.5,,,,,,,,,Diploid fish,nmolO2/h/ind,12.37215514,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,3.443,29.5,,,,,,,,,Triploid fish,nmolO2/h/ind,6.731704997,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,3.876,29.5,,,,,,,,,Triploid fish,nmolO2/h/ind,10.62357094,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,3.786,29.5,,,,,,,,,Triploid fish,nmolO2/h/ind,8.993229033,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,4.085,29.5,,,,,,,,,Triploid fish,nmolO2/h/ind,14.15261709,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,3.898,29.5,,,,,,,,,Triploid fish,nmolO2/h/ind,11.04254549,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,3.047,29.5,,,,,,,,,Triploid fish,nmolO2/h/ind,8.934015721,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,3.926,29.5,,,,,,,,,Diploid fish,nmolO2/h/ind,13.19101372,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,4.157,29.5,,,,,,,,,Diploid fish,nmolO2/h/ind,11.43965016,
Hermaniuk_et_al_2021,22-02-2023,Adam _Hermaniuk,hylaar@gmail.com,primary,https://doi.org/10.5061/dryad.2280gb5qw,https://doi.org/10.1242/jeb.227124,,Danio_rerio,,freshwater,freshwater,0.1,,,laboratory,,,,,yes,,,29.5,,,,,,,,,,no,,,,,,,,,,,,routine,0.3,,"fluorescence-based oxygen reading device (SDR SensorDish Reader; PreSens, Regensburg, Germany)",0.2,0.3,glass,,closed,aquatic,larva,larva,,,total length,millimeter,3.889,29.5,,,,,,,,,Diploid fish,nmolO2/h/ind,18.86299442,
