dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,depth_of_collection,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.17,9,20,,,,,,,,,Joule/day,1.63,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.28,9,20,,,,,,,,,Joule/day,3.1,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.58,9,20,,,,,,,,,Joule/day,1.48,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.89,9,20,,,,,,,,,Joule/day,1.8,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.91,9,20,,,,,,,,,Joule/day,3.29,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,6.81,9,20,,,,,,,,,Joule/day,1.27,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,8,9,20,,,,,,,,,Joule/day,2.09,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,8.36,9,20,,,,,,,,,Joule/day,1.34,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,8.56,9,20,,,,,,,,,Joule/day,3.47,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,10.25,9,20,,,,,,,,,Joule/day,2.28,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,10.43,9,20,,,,,,,,,Joule/day,2.34,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,10.65,9,20,,,,,,,,,Joule/day,1.84,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,11.14,9,20,,,,,,,,,Joule/day,3.09,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,3.22,9,20,,,,,,,,,Joule/day,1.49,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,3.26,9,20,,,,,,,,,Joule/day,1.57,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,3.33,9,20,,,,,,,,,Joule/day,1.78,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,3.69,9,20,,,,,,,,,Joule/day,2.29,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,4.19,9,20,,,,,,,,,Joule/day,1.9,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,4.4,9,20,,,,,,,,,Joule/day,1.89,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,4.62,9,20,,,,,,,,,Joule/day,1.89,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,0.58,9,20,,,,,,,,,Joule/day,0.27,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,1.56,9,20,,,,,,,,,Joule/day,0.38,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,9,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,2.06,9,20,,,,,,,,,Joule/day,1.22,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,18,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.54,18,20,,,,,,,,,Joule/day,3.51,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,18,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.68,18,20,,,,,,,,,Joule/day,3.42,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,18,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,5.93,18,20,,,,,,,,,Joule/day,2.81,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,18,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,6.42,18,20,,,,,,,,,Joule/day,2.61,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,18,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,8.92,18,20,,,,,,,,,Joule/day,3.81,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,18,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,8.26,18,20,,,,,,,,,Joule/day,2.76,
Shokri_et_al_2022,17-12-2022,Milad_Shokri,milad.shokri@unisalento.it,primary,https://doi.org/10.17605/OSF.IO/56TNH,https://doi.org/10.1242/jeb.244842,,Gammarus_insensibilis,Quarantia_Italy,brackish,brackish,1,45.763,13.498,field,,01-01-2019,01-01-2019,,no,,,,,,,,,,,,,yes,14,18,20,,,,,,,,Phragmites australis (Cav.) Trin. ex Steud,standard,3,1,Clark-type microelectrodes,6,3,glass,3,open,aquatic,adult,adult,male,mature,dry body mass,milligram,2.9,18,20,,,,,,,,,Joule/day,2.38,
