dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,depth_of_collection,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,161.4,15,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.747909942,animalID_Il39
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,138.1,15,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.369089816,animalID_Il40
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,132.9,15,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.175244124,animalID_Il41
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,male,mature adults,fresh mass,milligram,102.9,15,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.247124453,animalID_Il42
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,male,mature adults,fresh mass,milligram,106,5,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.263885851,animalID_Il42
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,132.9,5,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.262041164,animalID_Il41
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,161.4,5,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.100878154,animalID_Il39
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,138.1,5,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.274780511,animalID_Il40
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,161.4,10,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.166785187,animalID_Il39
Verberk_and_Bilton_2015,26-03-2023,Wilco_Verberk,w.verberk@science.ru.nl,primary,https://doi.org/10.5281/zenodo.7772187,https://doi.org/10.1242/jeb.119560,,Ilyocorus_cimicoides,South Drain_Somerset Levels_UK,freshwater,ditch,0.5,51.1806,-2.8803,field,,,,,no,,,,,,,,,,,,,yes,7,10,0,7,21,400,12L_12D,100,kPa,uatm,red chironomids,standard,1.25,1,Microx TX3 fiberoptic oxygenmeter,50,,polypropylene,,closed,bimodal,adult,,female,mature adults,fresh mass,milligram,138.1,10,,,,,,,,,"partial respiration measure, referring to the aquatic part of oxygen uptake only",umolO2/h/ind,0.398877958,animalID_Il40
