dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,depth_of_collection,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1523,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.04749038,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.2121,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.07870326,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1735,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.04760238,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1818,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.04799316,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.2138,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.03698409,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1481,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.03629195,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1405,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.0394662,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1619,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.0619021,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1412,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.04089071,Fish exposed to control conditions (no bisphenol A)
Wu_et_al_2022,23-12-2022,Nicholas_Wu,nicholas.wu.nz@gmail.com,primary,https://doi.org/10.5061/dryad.v6wwpzgxm,https://royalsocietypublishing.org/doi/10.1098/rspb.2021.2077,,Danio_rerio,,freshwater,freshwater,,,,lab,,,,,yes,98,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",yes,,24,0,7.6,100,,14L_10D,,percentage_of_saturation,,"Fish flakes (Tetramin, VA, USA)_supplemented with live Artemia salina nauplii every 3–4 days",standard,2,1,oxygen meter Witrox 4 Loligo Systems,27,2,plastic,0.5,intermittent flow-through,aquatic,larva,98 dpf,,,fresh body mass,milligram,0.1581,24,0,7.6,100,,percentage_of_saturation,,24L_0D,,,umolO2/min/ind,0.04115288,Fish exposed to control conditions (no bisphenol A)
