dataset_id,date_of_contribution,name_contact,email_contact,type_of_reference,doi_dataset,doi_publication,comments_reference,species_reported,location_description,realm_general,realm_specific,depth_of_collection,lat_gg,lat_mm,lat_ss,long_gg,long_mm,long_ss,lat_gg_mm_ss,long_gg_mm_ss,origin,comments_location,date_of_collection_initial,date_of_collection_final,comments_timing,maintained,maintenance_duration_days,maintenance_duration_generations,maintenance_temperature,maintenance_salinity,maintenance_ph,maintenance_oxygen,maintenance_carbon_dioxide,maintenance_photoperiod,maintenance_humidity,maintenance_oxygen_units,maintenance_carbon_dioxide_units,maintenance_food_type,acclimated,acclimation_duration,acclimation_temperature,acclimation_salinity,acclimation_ph,acclimation_oxygen,acclimation_carbon_dioxide,acclimation_photoperiod,acclimation_humidity,acclimation_oxygen_units,acclimation_carbon_dioxide_units,acclimation_food_type,metabolic_rate_type,acclimation_chamber,fasting_time,sensor_type,respiration_volume,delay_time,respiratory_chamber_material,incubation_time,respirometry_type,breathing_mode,life_stage_general,life_stage_specific,sex,reproductive_stage,size_type,size_units,size_value,test_temperature,test_salinity,test_ph,test_oxygen,test_carbon_dioxide,test_oxygen_units,test_carbon_dioxide_units,test_photoperiod,test_humidity,comments_experimental_conditions,resp_unit,resp_value,comments_respiration
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,female,mature,fresh body mass,milligram,339.5,23,,,,,,,,,,umolO2/h/ind,1.899646764,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,female,mature,fresh body mass,milligram,339.5,23,,,,,,,,,,umolO2/h/ind,0.346093401,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,female,mature,fresh body mass,milligram,339.5,23,,,,,,,,,,umolO2/h/ind,0.498340327,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,female,mature,fresh body mass,milligram,339.5,23,,,,,,,,,,umolO2/h/ind,1.060417107,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,female,mature,fresh body mass,milligram,339.5,28,,,,,,,,,,umolO2/h/ind,3.839683089,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,female,mature,fresh body mass,milligram,339.5,28,,,,,,,,,,umolO2/h/ind,5.982919634,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,female,mature,fresh body mass,milligram,339.5,28,,,,,,,,,,umolO2/h/ind,3.783194737,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,male,mature,fresh body mass,milligram,199.62,23,,,,,,,,,,umolO2/h/ind,2.012581758,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,male,mature,fresh body mass,milligram,199.62,23,,,,,,,,,,umolO2/h/ind,0.263822109,Diploid_individual
vandePol_unpublished,22-11-2022,Iris_vandePol,iris.vandepol@ru.nl,primary_unpublished,,,Unpublished dataset,Danio_rerio,,freshwater,freshwater,0.1,,,,,,,,,aquarium,,29-03-2021,29-06-2021,,yes,98,,28,,,,,,,,,,yes,,28,,,100,,,,percentage_of_saturation,,,standard,1,1,optical sensor spot,15.49,,glass,1,intermittent flow-through,aquatic,adult,adult,male,mature,fresh body mass,milligram,199.62,23,,,,,,,,,,umolO2/h/ind,0.973457851,Diploid_individual
