phylum,class,order,family,genus,species,species_reported,source,taxo_level
Arthropoda,Insecta,Hymenoptera,Braconidae,Aphidius,Aphidius platensis, Aphidius_platensis,ncbi,Species
Chordata,Amphibia,Anura,Ranidae,Rana,Rana temporaria, Rana_temporaria,ncbi,Species
Chordata,Amphibia,Anura,Ranidae,Rana,Rana arvalis, Rana_arvalis,ncbi,Species
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila melanogaster, Drosophila_melanogaster,ncbi,Species
Chordata,Amphibia,Anura,Ranidae,Pelophylax,Pelophylax lessonae, Pelophylax_esculentus,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Braconidae,Aphidius,Aphidius colemani, Aphidius_colemani,ncbi,Species
Arthropoda,Insecta,Odonata,Lestidae,Chalcolestes,Chalcolestes viridis, Lestes_viridis,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Braconidae,Asobara,Asobara tabida, Asobara_tabida,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Figitidae,Leptopilina,Leptopilina heterotoma, Leptopilina_heterotoma,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Pteromalidae,Spalangia,Spalangia erythromera, Spalangia_erythromera,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Diapriidae,Trichopria,Trichopria drosophilae, Trichopria_drosophilae,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Braconidae,Aphidius,Aphidius ervi, Aphidius_ervi,ncbi,Species
Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,Lycaena phlaeas, Lycaena_phlaeas,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Chalcididae,Brachymeria,Brachymeria nosatoi, Brachymeria_nosatoi,ncbi,Species
Arthropoda,Insecta,Lepidoptera,Oecophoridae,Opisina,Opisina arenosella, Opisina_arenosella,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Braconidae,Aphidius,Aphidius matricariae, Aphidius_matricariae,ncbi,Species
Arthropoda,Insecta,Hemiptera,Aphididae,Dysaphis,Dysaphis plantaginea, Dysaphis_plantaginea,ncbi,Species
Arthropoda,Insecta,Lepidoptera,Geometridae,Operophtera,Operophtera brumata, Operophtera_brumata,ncbi,Species
Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,Petrolisthes laevigatus, Petrolisthes_laevigatus,ncbi,Species
Mollusca,Gastropoda,NA,Lymnaeidae,Lymnaea,Lymnaea stagnalis, Lymnaea_stagnalis,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Encyrtidae,Copidosoma,Copidosoma koehleri, Copidosoma_koehleri,ncbi,Species
Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila subobscura, Drosophila_subobscura,ncbi,Species
Arthropoda,Malacostraca,Decapoda,Lithodidae,Lithodes,Lithodes santolla, Lithodes_santolla,ncbi,Species
Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,Gryllus bimaculatus, Gryllus_bimaculatus,ncbi,Species
Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus,Gryllus campestris, Gryllus_campestris,ncbi,Species
Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio rerio, Danio_rerio,ncbi,Species
Chordata,Actinopteri,Centrarchiformes,Terapontidae,Bidyanus,Bidyanus bidyanus, Bidyanus_bidyanus,ncbi,Species
Chordata,Actinopteri,Centrarchiformes,Terapontidae,Leiopotherapon,Leiopotherapon unicolor, Leiopotherapon_unicolor,ncbi,Species
Arthropoda,Malacostraca,Decapoda,Callianassidae,Neotrypaea,Neotrypaea uncinata, Neotrypaea_uncinata,ncbi,Species
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus insensibilis, Gammarus_insensibilis,ncbi,Species
Arthropoda,Insecta,Hemiptera,Aphelocheiridae,Aphelocheirus,Aphelocheirus aestivalis, Aphelocheirus_aestivalis,ncbi,Species
Chordata,Lepidosauria,Squamata,Scincidae,Liopholis,Liopholis striata, Liopholis_striata,ncbi,Species
Chordata,Lepidosauria,Squamata,Scincidae,Liopholis,Liopholis inornata, Liopholis_inornata,ncbi,Species
Arthropoda,Insecta,Hymenoptera,Encyrtidae,Trechnites,Trechnites insidiosus, Trechnites_insidiosus,gbif,Species
Arthropoda,Insecta,Hemiptera,Naucoridae,Ilyocoris,Ilyocoris cimicoides, Ilyocorus_cimicoides,gbif,Species
Chordata,Amphibia,Anura,Pelodryadidae,Ranoidea,Ranoidea caerulea, Litoria_caerulea,gbif,Species
